Tipo;Producto;Código NCM;Unidades;Acumulado a mayo 2015;Acumulado a mayo 2016;Acumulado a mayo 2017
Muebles de madera;Los demás muebles ;NCM 9403.60;Unidades; 64.468   ; 88.961   ; 142.998   
Vajilla y cristaleria;Artículos de vidrio ;NCM 7013;Kilos; 5.020.629   ; 6.808.599   ; 7.692.784   
Vajilla y cristaleria;Copas recipientes con pie para beber ;NCM 7013.2;Kilos; 772.333   ; 1.431.792   ; 924.997   
Vajilla y cristaleria;Artículos para servicio de mesa vajilla ;NCM 7013.4;Kilos; 1.677.221   ; 2.558.058   ; 3.317.627   
Productos industriales;Engrasadoras neumáticas ;NCM 8467.19.00.900V;Unidades; 12.273   ; 28.952   ; 10.623   
Productos industriales;Prensa hidráulica ;NCM 8462.91.19.000Z;Unidades; 22   ; 131   ; 42   
Productos industriales;Escuadradoras ;NCM 8465.91.20.900V;Unidades; 65   ; 154   ; 657   
Productos industriales;Celdas de carga ;NCM 9031.80.60;Unidades; 75.816   ; 79.864   ; 44.017   
Productos industriales;Bombas centrifugas ;NCM 8413.70.80.100E/8413.70.80.900Y;Unidades; 543.104   ; 758.829   ; 757.743   
Productos industriales;Acumuladores eléctricos ;NCM 8507.1;Unidades; 1.104.423   ; 1.432.614   ; 1.090.511   
Productos industriales;Tubos y perfiles huecos, sin soldadura, de hierro o acero  usados en oleoductos o gasoductos ;NCM 7304.1 - 7304.2;Toneladas; 8.205   ; 4.864   ; 3.088   
Productos industriales;Válvulas de retención ;NCM 8481.30.00.000X;Unidades; 989.442   ; 801.876   ; 1.351.699   
Otros productos industriales;Silos ;NCM 8479.89.40.000R;Unidades; 52   ; 91   ; 158   
Otros productos industriales;Silos sin mecanizar ;NCM 7309.00.10.000G;Unidades; 223   ; 102   ; 495   
Otros productos industriales;Changuitos supermercado ;NCM 8716.80.00.100Q;Unidades; 175.217   ; 339.369   ; 401.269   
Otros productos industriales;Esponjas aluminio ;NCM 7615.10.00.910E;Unidades; 581.971   ; 849.551   ; 965.470   
Otros productos industriales;Amoladora de banco ;NCM 8460.90.90.100Q;Unidades; 12.734   ; 17.357   ; 15.641   
Otros productos industriales;Elevador hidráulico ;NCM 8425.42.00;Unidades; 83.813   ; 167.465   ; 116.513   
Otros productos industriales;Colas y otros adhesivos ;NCM 3506.10.90;Kilos; 218.281   ; 542.126   ; 499.771   
Otros productos industriales;Esponjas de cobre ;NCM 7418.10.00;Unidades; 532   ; 113.620   ; 135.045   
Otros productos industriales;Crique hidráulico ;NCM 8425.42.00.120X;Unidades; 2.089   ; 10.096   ; 5.562   
Otros productos industriales;Guinche ;NCM 8425.42.00.910M;Unidades; 48.054   ; 64.264   ; 47.245   
Otros productos industriales;Sommiers ;NCM 9404.10.00.000T;Unidades; 2.422   ; 7.749   ; 14.753   
Otros productos industriales;Colchones ;NCM 9404.2;Unidades; 10.034   ; 30.263   ; 39.741   
Productos de ferretería;Palas forjadas ;NCM 8201.10.00.130F;Unidades; 6.670   ; 14.775   ; 5.071   
Productos de ferretería;Mechas para madera ;NCM 8207.50.11.500C;Unidades; 62.989   ; 125.512   ; 222.826   
Productos de ferretería;Tijeras de poda ;NCM 8201.50.00.110F;Unidades; 9.318   ; 11.538   ; 27.993   
Productos de ferretería;Tenazas ;NCM 8203.20.90.100K;Unidades; 87.949   ; 149.941   ; 62.962   
Productos de ferretería;Cortafrío ;NCM 8203.40.00.900U;Unidades; 22.507   ; 54.003   ; 247.332   
Productos de ferretería;Tijeras ojalateros ;NCM 8203.30.00.000F;Unidades; 43.145   ; 68.442   ; 61.143   
Productos de ferretería;Taladros de pecho ;NCM 8205.10.00.900N;Unidades; 7.663   ; 9.087   ; 2.924   
Productos de ferretería;Machetes ;NCM 8201.40.00.200U;Unidades; 83.278   ; 192.739   ; 115.082   
Productos de ferretería;Sierras de mano ;NCM 8202.10.00;Unidades; 312.331   ; 386.000   ; 384.481   
Productos de ferretería;Limas ;NCM 8203.10.10.100T;Unidades; 266.577   ; 536.336   ; 692.712   
Productos de ferretería;Escofinas ;NCM 8203.10.10.200Y;Unidades; 18.286   ; 42.079   ; 31.703   
Productos de ferretería;Mazas ;NCM 8205.20.00.200P;Unidades; 38.004   ; 57.147   ; 27.922   
Productos de ferretería;Pinceles ;NCM 9603.40.90.000T;Unidades; 2.387.585   ; 4.349.858   ; 3.592.090   
Productos de ferretería;Rodillos ;NCM 9603.40.10.000P;Unidades; 403.404   ; 319.771   ; 315.235   
Productos textiles;Prendas y complementos -accesorios-, de vestir, de punto ;NCM 61;Kilos; 1.585.593   ; 2.152.616   ; 3.284.712   
Productos textiles;Prendas y complementos -accesorios-, de vestir, excepto los de punto ;NCM 62;Kilos; 3.092.452   ; 3.738.927   ; 6.000.092   
Productos textiles;"Los demás art. textiles confeccionados; juegos; prendería y trapos ";NCM 63;Kilos; 5.553.207   ; 6.918.070   ; 7.606.824   
Productos textiles;Algodón sin cardar ni peinar ;NCM 5201;Kilos; 598.736   ; 2.604.185   ; 1.688.004   
Productos textiles;Pantalones largos de jean ;NCM 6203.42.00.11;Unidades; 105.033   ; 201.250   ; 364.806   
Artículos para deporte;Pelotas de fútbol ;NCM  9506.62.00.1;Unidades; 592.009   ; 1.270.921   ; 1.052.949   
Maquinaria agrícola;Cosechadoras ;NCM 8433.51.00.100B /8433.52.00.100N;Unidades; 47   ; 77   ; 325   
Maquinaria agrícola;Pulverizadoras ;NCM 8424.81.19.1;Unidades; 21   ; 22   ; 71   
Maquinaria agrícola;Tractores ; NCM 8701.90.90.900Y;Unidades; 199   ; 263   ; 870   
